,text,label
162,getting lots questions one really know answer store staff react someone coughing sneezing checkout instore,Extremely Positive
163,discover affecting industry via,Neutral
164,italy full everything closed except supermarket post,Neutral
165,response comes containing spread says bruce leader mission china social hands stock,Positive
166,unelected using keep theur asset prices steal,Negative
167,panic buying supermarket manila announces cases one shop worker told queues twice long hand sanitiser cleaning alcohol short,Neutral
168,new housemmate moving place tomorrow get text one current like work retail store easily bring home,Positive
169,remember good diet key come stock fresh food including high citrus,Extremely Positive
170,demand food servers wear gloves preparing,Negative
171,since online shopping stuff limiting much go items purchased us original packaging handled blessed,Extremely Positive
172,shifts online shopping,Neutral
173,home shopping could double takes hold consumers switch buying food household items stores ready meet via,Positive
174,citigroup ceo michael financial banks financial system sound shape live,Extremely Positive
175,everyone else need stock food water case quarantined going make work home need make sure food house mindlessly eat,Neutral
176,retail store restaurant bathrooms taught people need wash hands employees work,Neutral
177,guys please stock confirm grocery stores starting run non perishable food cleaning practice safe measures also make sure polite retail workers stressful time,Positive
178,market crash coming even prices securities fall lender right demand additional cash way get cash sell selling begets,Negative
179,dont stock toilet water every season stocking,Neutral
180,residents stock cleaning supplies,Neutral
181,please please please please please panic better chance overcoming crisis stay calm everyone needs alcohol stay clean everyone needs access food water stay,Extremely Positive
182,necessary stockpile toilet items response recent press conference told older adults period long actual one one,Neutral
183,free food one employee personally stock fridge drastically alters life sense steep price tech via,Positive
184,everybody stocking toilet like rather stock extra without becomes,Extremely Negative
185,sitting counting walking trail behind decent gym pool lovely shut weeks months headed grocery store stock frozen pizza,Extremely Positive
186,quoted piece,Neutral
187,everyone loves food cheescake factory stock continue destroy value management need replaced new leader needs streamline,Positive
188,anxiety driving grocery shoppers able purchase items need without risking exposure crowds catalyst online grocery needed change deep rooted consumer shopping,Positive
189,coughing feeling sick stay go grocery go would,Negative
190,ever financial relief comes dc include consumer financial relief water,Extremely Positive
191,panicking ask cashiers local tell never needed reason stock food leave house weeks fact people also also,Extremely Positive
192,coronavirus effect bond prices pandemias tend increase safe havens demand german opposite effect greek bonds prices,Positive
193,fucked come solid plan store combat better higher ups curious know retail stores keep employees seen one coffee shop take cash anymore another,Extremely Positive
194,today grocery checker touched noticed habit licking fingers count please,Negative
195,cdc finally says prepared means ask doc supply supplies last distance stay home,Positive
196,still stock dry canned food bottled water water,Neutral
197,popped local supermarket baskets noticeably hand wash bog roll needed one wash,Positive
198,trying paranoid admit binging prepper videos probably wise idea us stock,Extremely Positive
199,hi italy big fan district live covered government forbidden us leave houses except going grocery store,Negative
200,environment small stock anything barely afford rent food regular constantly wash hands water asking,Negative
201,preprint virus remains viable air hours post aerosolization stable plastic stainless steel viable virus could detected hrs washing hands even make difference given,Positive
202,league sources directed play host nets thursday night chase center game closed fans,Positive
203,small stock bar soap local food place guests feeding ministry asked portable liquid hand need stay safe,Extremely Positive
204,getting back impact question article asks travel covers way know sure check,Positive
205,shelves bare struggling meet finding difficult stock main worrying times us even struggling would really,Negative
206,neither mutton prices skyrocket due coronavirus scare,Negative
207,arlington public schools students get free reduced lunches schools close due donate share link fundraiser organized aps teachers give grocery store gift cards food insecure,Extremely Positive
208,live founder ceo discuss shifts consumer online shopping searching behavior changes seen ecommerce sales follow along,Neutral
209,key metrics considered online shopping behavior latency number days first website landing first purchase number website landings prior first,Positive
210,woolworths stated customers bought monstrous amounts toilet pasta canned food unable return excess panic buyer serves,Extremely Negative
211,focus demand side economic impact food services would far largest sector,Negative
212,gonna apologize bank online shopping im quarantined,Positive
213,proven safe heaven multinationals spread people dumping crypto get stock like food small,Positive
214,coronavirus hurting store traffic help much,Positive
215,forget expect already recession anyway thanks,Negative
216,went grocery store buy cleaners toilet buy bacon saw three people masks maybe three state ohio scary shut grocery,Extremely Negative
217,completely changed outlook time stock canned food,Neutral
218,foodbank said seeing clients without work,Neutral
219,local authorities floated idea lockdowns control agriculture secretary william dar said order sufficiency action meant contingency measure situation,Negative
220,stock pantry,Neutral
221,necessities please remember food group lot places depend donations time flexibility able stock donate,Positive
222,even see housing bubble pop stable prices maximum,Negative
223,retailers handle difficult trading due conversion probably biggest challenge store,Negative
224,stock make sure bottles natural hand sanitizer spray desk home purse travel tv food tray lab proven kill toughest germs viruses available health food stores,Positive
225,needing create,Positive
226,cdc keeps piling none creating scarcities telling people stay home stock nursing homes prepared need get cdc,Neutral
227,reporting stop many times told wash hands use hand sanitizer alcohol cough tissue stock food rx drugs cancelling mass shootings told live lives virus paralyzing puzzling,Positive
228,fuck strong jobs absolutely go trump,Negative
229,lookout price gouging scams related learn spot file related consumer complaints link,Extremely Negative
230,disappointed sellers attempting artificially raise prices basic need products global health,Extremely Negative
231,target walmart clean repeat target begun cleaning sanitizing checkout lanes touchscreens least every,Positive
232,americans immunocompromised immune stock food meds,Neutral
233,target begins rationing items flying shelves coronavirus institutes new store cleaning,Neutral
234,local iga supermarket limit dog food gonna another toilet roll hoarding saga ridiculous,Negative
235,swung grocery store tonight toilet paper hand sanitizer found trophy,Positive
236,according dude eat rama koo checks system like food virus may host someone eats like stock koo beans,Extremely Positive
237,continuing outbreak affecting two key read,Neutral
238,literally two weeks ago economy humming along bernie sanders democratic dominant victory,Neutral
239,different like share since whole need buy single already everything might joking shameful prices gone needed,Positive
240,local authorities encouraged relax planning restrictions around delivery times store opening hours ensure supermarkets retailers able maintain stock levels,Extremely Positive
241,get lot sleep drink lot water eat bats wash hands call mom stock food eat bats stock water clean regularly touched surfaces eat bats avoid crowded events eat eat bats,Positive
242,go sick wash hands call wear mask doctor stock medicines work home keep social distances hand sanitizer surfaces avoid touching face good vitamins cough elbow panic,Negative
243,optimist look bright side wife longer wants take expensive trip asia longer buys anything online everything made overseas longer goes shopping panicked toilet paper mobs blessings,Positive
244,telangana make taking advantage fears minting money manufacture masks exported exorbitant prices,Negative
245,dangerous dems causing chaos shake share bites watch fox problem fake media making look crashed stock beautifully perfect test kits,Extremely Negative
246,help keep elderly mortality rate extremely high need stock medicine food stay away people,Positive
247,new wave retail coronavirus virtual empty list canceled trade,Negative
248,industry affecting supply chains disrupting manufacturing operations around details could impact global supply,Neutral
249,world health organization declares pointing cases coronavirus illness countries territories around world,Negative
250,back business retail trend lates impact shopping surge shopping session,Neutral
251,online shopping impact,Neutral
252,looking stock food strapped cash ducks park free take home,Positive
253,food running around stocking toilet better stock vitamin c probiotic boost immune,Extremely Positive
254,may indeed result temporary spike delivery demand anticipated kroger wall street journal kroger wall street journal,Positive
255,sweep country full pandemic long think quarantine taking stock things wondering weeks worth food,Positive
256,point anyone tested pay absurd prices tested insured government intervention grant paid free testing guarantee job live fuck em,Positive
257,called pounds lose stock gain stocked trash,Positive
258,worried stock items like added sugar friendly,Extremely Positive
259,stages denial bad flu anger everyone buying toilet bargaining start shots get depression omg going die acceptance stock get,Extremely Negative
260,pics shoppers around world heading grocery stores stock food basics fear spread grows,Negative
261,intel talked friend owns multiple fast food franchises said likely shut next week protect stock canned goods food ur local restaurants fast food franchises may open,Extremely Positive
262,went afternoon saw many empty understand people acting pandemic stocking feel terribly elders able online shopping struggling get essential daily,Extremely Negative
263,discounting danger attending sporting tell ok continue going work grocery store thousands customers come go daily basis carrying unknown amount sicknesses,Positive
264,willing go grocery store pharmacy stricken employees afford take sick leave maybe appreciate cost inaction elderly parents need icu bu,Negative
265,accelerate move remote remote online interaction ongoing change worship event permanently shift leverage technology,Positive
266,online shopping sterile think delivery vans staff,Positive
267,ur able please donate food banks panic buying due meant donations fallen banks low essentials like milk toiletries food banks already stretched far especially need,Negative
268,low price cruise ships may able come back good,Negative
269,rly hit bank acct groceries online shopping imma totally unable avoid,Negative
270,wondering stock food home,Neutral
271,clowns playing games peoples large parts community concerned vunerable family clowns monitoring consumer,Positive
272,expect go skip grows,Neutral
273,sorry burst bubble cannot manage strain one lysol tin older version built defeat stop wasting money buy soap alcohol stock food,Extremely Negative
274,oregon cheese festival officially postponed due keep fingers crossed microbusinesses like wanna support us shopping put trial sized package sticker every order received,Extremely Positive
275,think gd super bowl grocery store right,Positive
276,donnie touts becoz low oil watch get donnie,Negative
277,discourse dominated typical ignorance societal welfare public justification unlike food definitely kill,Extremely Negative
278,could beg people means please take easy hoarding people less money stock older ppl ppl disabilities carry store leave food toilet paper,Extremely Positive
279,citizens empty supermarket shelves amid fears,Negative
280,rich pricks selling us water gas sell us next portable clip rich always create crisis fear world hollywood rich support claiming contaminated,Extremely Positive
281,actually gonna stock food necessities,Neutral
282,let guess going spike prices recover low profits due,Positive
283,would good time people teach older family members neighbours order supermarket shopping many people never done,Positive
284,morons sri quit perishables absolute nobody else gonna food loaf bread gonna moldy fuck end efficient give sick people,Extremely Negative
285,message please seen posts online lately saying people slowing internet shopping may worried aboutâ,Positive
286,hard much want hodl place declared lock due use buy food b,Negative
287,meanwhile grocery store,Neutral
288,supermarket london toilet chicken red people,Extremely Negative
289,got people facebook currently selling toilet paper bidding groups outrages world disgusting,Extremely Negative
290,special place hell people hoarding surgical masks reselling online exorbitant malala pa kayo sa,Negative
291,milan queue enter supermarket due restrictive emergency measures let people keep least meter away,Negative
292,clear coupang early morning grocery shopping service started seems possible order since days maybe people buying groceries offline,Negative
293,corona ep never say die track china global travel ban every freaking retail store water sanitizer,Negative
294,feel need pick please head local cut,Negative
295,coronavirus virus people buying toilet paper selling jacked prices places like amazon save butt wipe rest,Extremely Positive
296,retail notes growth demand canned food,Positive
297,stole lowered oil plane ticket prices well got people days,Positive
298,ptsd surviving hurricane seeing depleted stores causes intense flashbacks remember hard get food water please smart,Positive
299,imagine life supply chain store disrupted lockdowns nations especially stock food includes,Neutral
300,let lumped toliet paper users folks prices going last forever,Neutral
301,panic maybe put extra items food bank people need items ever noodles cereal hardly going break,Extremely Negative
302,scenes outside local supermarket country goes lockdown silly twat bulk buy plenty everyone consider vulnerable people people paid,Extremely Negative
303,local shop cutting price mark labels put prices taking advantage bad situation,Negative
304,would fight everyone supermarket last roll toilet paper,Negative
305,testing emergency leave workers unemployment insurance food security initiatives protections frontline workers federal funds medicaid,Extremely Positive
306,bloody get painkillers knee pain foods buy child food issues tell without causing meltdown people,Extremely Negative
307,fact probably work close cancel kinda swear god get cuz fucking,Extremely Negative
308,prepare panic ovee everything stock toilet stock bitcoin sell back inflated prices later,Extremely Negative
309,corona virus got people going nuts grocery toilet must know hood rules apply cuz first thing morning taking items work bringing home,Negative
310,new marc patrone show march oil prices hit falling stock,Negative
311,maximize population across creepy joe zionist puppet masters want universal health care keep drug prices canada cut social security,Positive
312,shoppers wearing face masks stock food wait line pay supermarket quezon city cases rise country via,Negative
313,stock food water asap forced quarantines deadly stocks bonds silver gold slv gld intern nurse rn medstudent paramedic trucker patriot taxi prepper veteran hunter biker surfer bartender eos bch xrp,Negative
314,best part working restaurant right access literally cases tp fuck grocery store hoarding,Negative
315,nakita ko lang republic act consumer act philippines title protection unfair andunconscionable sales acts practices,Negative
316,months eu lockdown america suspending flight eu sporting events postponed crashed crashed market crashed food medicine running president celebrity,Neutral
317,wipes yesterday grocery store cause ppl r going nuts enough rest us,Extremely Negative
318,post hand sanitizer placed us false never sold purells happy local customers seen stock,Extremely Positive
319,athens stock exchange nosedive equity prices significantly dropping stock exchange basic share price index percent,Positive
320,bjp mp subramanian swamy given zero hour notice rajya sabha high aviation fuel prices domestic air,Neutral
321,seeing lot supporters posting misleading information downplaying misrepresentation carry retail store door handles need polls,Negative
322,held press call discuss legal issues related coronavirus including consumer misrepresentation patient privacy listen portion call,Extremely Negative
323,coronavirus people say chinese food sgr guests demand traditional wazwan instead fried rice etc kno,Negative
324,services netflix video streaming ser high usage food delivery shopping online training courses online video streaming games,Negative
325,please scarcity logistical clusterfuck everyone panicks raids supermarket shelves like meteor hit,Extremely Positive
326,friend mine got chewed mgr asking showing signs international convention last week mgrs spread friend months pregnant grocery store,Extremely Positive
327,weird state hit life still felt pretty normal despite pics seen online today felt like first day ppl started acting lotta ppl grocery feels,Positive
328,zero fans game last rudy gobert still spread shitload unless grocery gas station medical shut,Neutral
329,hopefully push businesses offer online shopping car dealerships small restaurants,Positive
330,la coda di via adesso,Neutral
331,gay use hand sanitizer prevent pastor says wash hands prevent according conservative christian christians use hand sanitizer,Extremely Positive
332,egyptian retailers touting online shopping response,Negative
333,nothing like people taking things context tweeting angrily hands vulnerable people around,Extremely Negative
334,covid self isolation queen toilet paper hands ever supermarket scene perhaps tad extreme turns whispers darkly quarantine tesco queue volume,Negative
335,whatsapp group apartment currently used track shipment dates times toilet paper local,Neutral
336,get big stock get stock water food tp bottom,Neutral
337,crazies panic please forget,Negative
338,people disposable income cannot afford days worth food please consider drop local food pantry donate money,Positive
339,consumers slow embrace online grocery shopping mentality starting change era,Positive
340,americans concerned stock liquidity lack liquidity cause credit crisis everything medicine food supplies,Extremely Negative
341,cdc urges elderly stock stay home amid fears,Negative
342,afford stock elderly people stuck packets toilet soaps food rotting apparently war shops people making entire shelves cans beans cop,Extremely Negative
343,smartphones main devices online shopping peaks seen thanks reckon websites likely benefit,Extremely Positive
344,grocery store total stores rationing toilet everybody buying people wash hands wipe butts oh get started people motorized,Negative
345,informoval jsem jsou na potravin fakt opravdu dnes obsadit vykoupit,Neutral
346,state suburban grocery store time thanksgiving super single shopping cart available,Positive
347,americans stock food concerns stocking prepare according figures neilsen published sales medical supplies food,Positive
348,complaining schools closed tomorrow use go pub etc could quite easily get going every day,Positive
349,please check elderly neighbours probably seen heard news may scared go access online make sure,Positive
350,got message hours ago school closing next month classes shopping cart packed actually getting,Negative
351,thank god someone pay put food many people rely stock market retirement,Positive
352,real stock things already cat insane thing going worried worried told stay put,Negative
353,dont buy whatever selling give ego stop making feel like patronizing okay sell necessities higher prices buy,Positive
354,seeing resellers sell alcohols necessities prices expensive compared srps makes wonder people opportunistic times,Extremely Negative
355,people masks queuing outside supermarket glad see people cautious taking measures,Positive
356,fuel lowest price years however utility bills fuel prices remain making serious cash global,Negative
357,freaking buying supplies important remember buy regular soap,Negative
358,experts saying stock two weeks worth food supplies half people live paycheck paycheck suppose money trillion handout big banks nothing struggling ask pay,Positive
359,shelves local grocery store bare nice see everyone letting people front helping find certain items even making toilet paper,Extremely Positive
360,going say right wrong people people fighting shit paper sick go store shop panic feared idiot fools think world coming,Extremely Negative
361,went grocery store lunch pickup puppy thursday afternoon place,Extremely Positive
362,dont buy things bulk stores run food still make trips grocery store hurting everyone precautions control virus still early stage,Positive
363,government advice indoor gatherings every supermarket right,Negative
364,people say chinese food guests demand traditional wazwan instead fried rice etc,Negative
365,always use recycled toilet luckily us left local stockpiling,Extremely Positive
366,stock food case cities live shutdown supermarkets damn ehhh,Negative
367,husband went store stock gonna gain lbs eating junk food looking forward,Positive
368,stood line see long,Neutral
369,want take time say prepare stock food cleaning supplies stay hopefully get cure asap,Extremely Positive
370,next week croatia cofee shopping citys going even schools going hope everyone safe mary,Extremely Positive
371,plane ticket prices dropping cheap ass making bookings coz die better die paris,Extremely Negative
372,oh irony crowded place stock food supplies stay home avoid crowds kroger,Negative
373,amount clowns aroujnd place supermarket chain put,Neutral
374,reported infection hand prices increased four thousand pasta legumes something stocks,Extremely Positive
375,prices keep falling russia saudi arabia hit,Negative
376,world shifted right centre yet pakistani brands continue skyrocket bs,Neutral
377,pasta shelves local pasta bog roll sauce,Neutral
378,older lady grocery store telling wonderful listen nice told duped safe,Extremely Positive
379,toilet paper important stuck home going stock food fuckin,Positive
380,hey son self online shopping delivery dates sure said happen advice starve spread,Negative
381,basics social keep two metres away unless pile lost,Negative
382,modern shipping container stalls discounted best competitive market rates jkia ksh baringo embu kenya airways,Extremely Positive
383,saw shield best guide ever ramond moroe via,Extremely Positive
384,serious best way disinfect produce items brought home grocery watched people pick replace fruit yesterday like running water tips,Extremely Positive
385,worried want stock check guide healthy,Positive
386,americans stock food concerns rise,Neutral
387,really working lot good things going consumer consumer powerful country done tax cuts regulation cuts,Extremely Positive
388,doubt consumer behavior different right heavy impacts industries travel online touchpoints giants like amazon already seeing spike reach alongside brands like,Positive
